Sl. No,NameOfIncident,Date,Month,Year,Country,TypeOfEvent,PlaceName,Impact,AffectedPopulation,ImportantPersonGroupResponsible,Outcome,latitude,longitude
1,Indus Valley Civilization Flourishes,Unknown,Unknown,-2600.0,India,Civilization,Indus Valley,Development of one of the world's earliest urban civilizations,Local inhabitants,Indus Valley people,Positive,34.1409483,77.4831011
2,Battle of the Ten Kings,Unknown,Unknown,-1400.0,India,Battle,Punjab,Rigvedic tribes consolidated their control over the region,Rigvedic tribes,Sudas,Positive,30.9293211,75.5004841
6,Establishment of the Delhi Sultanate,Unknown,Unknown,1206.0,India,Political,New Delhi,Muslim rule established in parts of India,People of Delhi and surrounding regions,QutbUnknownudUnknowndin Aibak,Mixed,28.6138954,77.2090057
7,Battle of Panipat,21,April,1526.0,India,Battle,Panipat,Foundation of the Mughal Empire in India,Northern Indian kingdoms,Babur,Mixed,29.3912753,76.9771675
10,IndoUnknownPakistani War of 1971,3,December,1971.0,India,War,Bangladesh,Led to the independence of Bangladesh,Bengalis in East Pakistan,"Indian Military, Mukti Bahini",Negative,9.80073205,77.24446146230301
11,PokhranUnknownII Nuclear Tests,11,May,1998.0,India,Nuclear Test,Pokhran,India declared itself a nuclear state,International community,Atal Bihari Vajpayee,Mixed,26.9198813,71.9197573
12,Mumbai Terror Attacks,26,November,2008.0,India,Terrorism,Mumbai,Highlighted the threat of international terrorism,Citizens of Mumbai,LashkarUnknowneUnknownTaiba,Negative,19.08157715,72.88662753964906
13,Arrival of Vasco da Gama,20,May,1498.0,India,Exploration,Kozhikode,Marked the beginning of European colonial interests in India,Coastal communities,Vasco da Gama,Negative,11.2450558,75.7754716
14,Battle of Plassey,23,June,1757.0,India,Battle,Palashi,Foundation for the expansion of British rule in India,Bengal and later all of India,East India Company,Negative,22.928192,88.4860182
15,First War of Indian Independence,10,May,1857.0,India,Revolt,Meerut,First largeUnknownscale rebellion against British rule,"Rebels, British Raj","Indian soldiers, British East India Company",Negative,28.9826533,77.7081013
16,Swadeshi Movement,7,August,1905.0,India,National Movement,Bengal,Promoted Indian goods; protest against British economic policies,Indian nationalists,Indian National Congress,Positive,22.9964948,87.6855882
17,Green Revolution,Unknown,Unknown,1960.0,India,Agricultural Revolution,"Punjab, Haryana",Dramatically increased agricultural production,Indian farmers,"M.S. Swaminathan, Norman Borlaug",Positive,28.5045742,77.0531667
18,Operation Blue Star,1,June,1984.0,India,Military Operation,Amritsar,Removal of armed militants from Golden Temple but led to controversy,Sikh community,"Indian Government, Sikh militants",Negative,31.6343083,74.8736788
19,Kargil War,Unknown,May,1999.0,India,Military Conflict,"Kargil, Ladakh",India regained control of Kargil; heightened patriotism,Indian Armed Forces,"Indian Government, Pakistani Military",Positive,34.5594418,76.1255982
21,Nirbhaya Case,16,December,2012.0,India,Criminal Incident,New Delhi,Brought attention to women's safety and led to legal reforms,Indian women,"Indian society, Government of India",Positive,28.6138954,77.2090057
23,Ram Mandir Bhoomi Pujan,5,August,2020.0,India,Cultural/Religious,Ayodhya,Beginning of the construction of Ram Temple at disputed site,Hindu community,"Government of India, Hindu activists",Positive,26.7990707,82.2052321
24,India's First Hyperloop Project Announcement,Unknown,February,2018.0,India,Infrastructure,Maharashtra,Proposal for highUnknownspeed transportation system,Potential commuters,"Virgin Hyperloop One, State Government",Positive,18.9068356,75.6741579
27,SinoUnknownIndian War,20,October,1962.0,India,Military Conflict,Border regions of India,Highlighted the border disputes and led to military and strategic changes,Border communities,"India, China",Negative,,
28,First Nuclear Test (Smiling Buddha),18,May,1974.0,India,Nuclear Test,"Pokhran, Rajasthan","India joins the nuclear club, changing its strategic position globally",International community,Government of India,Mixed,26.9198813,71.9197573
30,Bhopal Gas Tragedy,3,December,1984.0,India,Industrial Disaster,"Bhopal, Madhya Pradesh",World's worst industrial disaster,Residents of Bhopal,Union Carbide Corporation,Negative,23.2584857,77.401989
32,Kandahar Hijacking (IC 814),24,December,1999.0,India,Terrorism,"Kandahar, Afghanistan",Highlighted issues in aviation security and terrorism,"Passengers, crew","Hijackers, Indian Government",Negative,,
33,2001 Indian Parliament Attack,13,December,2001.0,India,Terrorism,New Delhi,Led to increased tensions between India and Pakistan,Indian political system,"Terrorist groups, Government of India",Negative,28.6138954,77.2090057
35,Article 370 Revocation for Jammu & Kashmir,5,August,2019.0,India,Political,Jammu & Kashmir,Changed the special status and autonomy of J&K,Residents of J&K,Government of India,Mixed,33.6649297,75.1629584
36,Supreme Court Verdict on Ayodhya,9,November,2019.0,India,Judiciary,Ayodhya,Paved the way for the construction of a Ram Temple,Hindu and Muslim communities,Supreme Court of India,Mixed,26.7990707,82.2052321
37,Opening of BandraUnknownWorli Sea Link,30,June,2009.0,India,Infrastructure,Mumbai,Improved connectivity and reduced travel time in Mumbai,Commuters in Mumbai,Government of Maharashtra,Positive,19.08157715,72.88662753964906
38,Statue of Unity Unveiled,31,October,2018.0,India,Cultural/Political,Gujarat,"Became the world's tallest statue, symbolizing unity",Indian citizens,Government of India,Positive,22.3850051,71.745261
40,India's First Transgender University,Unknown,January,2020.0,India,Education,Uttar Pradesh,Empowered the transgender community through education,Transgender community,Dr. Akhilesh Das Gupta Foundation,Positive,27.1303344,80.859666
42,Historic Win in Cricket World Cup 1983,25,June,1983.0,India,Sports,"Lord's Cricket Ground, London","Marked India's first Cricket World Cup win, boosting the sport's popularity",Indian sports fans,Indian cricket team,Positive,,
43,2013 Uttarakhand Floods,Unknown,June,2013.0,India,Natural Disaster,Uttarakhand,Severe floods causing massive destruction and loss of life,"Residents, pilgrims","State Government, National Disaster Response Force",Negative,30.0417376,79.089691
50,Asiatic Lion Census Showing Population Increase,Unknown,May,2020.0,India,Wildlife Conservation,Gujarat,"Indicated successful conservation efforts, with an increase in the Asiatic lion population",Asiatic lions,"Wildlife Conservationists, Government of Gujarat",Positive,22.3850051,71.745261
