Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,Broad Category,Continent,Other,Military and Conflict,Political Events,Technological and Scientific Advancements,Crisis and Emergency Response,Economic and Infrastructure Development,Social and Cultural Events,Environmental and Health,Legal and Judicial Changes,International Relations and Diplomacy,Historical and Monumental,Social and Civil Rights
1,Indus Valley Civilization Flourishes,Unknown,Unknown,2600 BC,India,Civilization,Indus Valley,Development of one of the world's earliest urban civilizations,Local inhabitants,Indus Valley people,Positive,Other,Asia,0.2079111,0.06275811,0.09305431,0.07752888,0.03338171,0.13477539,0.16785768,0.027562989,0.007823484,0.03322957,0.15409258,2.4229732e-05
2,Battle of the Ten Kings,Unknown,Unknown,1400 BC,India,Battle,Punjab,Rigvedic tribes consolidated their control over the region,Rigvedic tribes,Sudas,Positive,Military and Conflict,Asia,0.15933198,0.16968007,0.1581233,0.014703007,0.034118276,0.04291611,0.14133863,0.027471997,0.05862761,0.034429707,0.15892483,0.00033448823
6,Establishment of the Delhi Sultanate,Unknown,Unknown,1206,India,Political,Delhi,Muslim rule established in parts of India,People of Delhi and surrounding regions,QutbUnknownudUnknowndin Aibak,Mixed,Political Events,Asia,0.18148808,0.07225856,0.1781814,0.030736811,0.036080334,0.029272638,0.14307515,0.0033613096,0.124152824,0.070487,0.12794742,0.0029584311
7,Battle of Panipat,21,April,1526,India,Battle,Panipat,Foundation of the Mughal Empire in India,Northern Indian kingdoms,Babur,Mixed,Military and Conflict,Asia,0.16164902,0.10189508,0.13257654,0.07980593,0.078494534,0.04005068,0.13977128,0.0256221,0.04152211,0.02686555,0.17165253,9.473335e-05
8,Establishment of British Raj,1,May,1858,India,Colonial,Whole India,Start of direct British governance in India,Indian subcontinent,British East India Company/Empire,Negative,Other,Asia,0.19905521,0.12644301,0.166561,0.04101973,0.046336867,0.082727745,0.1299143,0.011160937,0.08667542,0.053491965,0.054809865,0.0018039395
9,Partition of India,15,August,1947,India,Partition,India/Pakistan,Creation of India and Pakistan; massive population displacement and violence,"Hindus, Muslims, Sikhs","British Empire, Indian political leaders",Negative,Other,Asia,0.1767889,0.11929203,0.123558894,0.04295612,0.11667751,0.08259004,0.098188266,0.06857703,0.057140287,0.03727041,0.07657683,0.00038366427
10,IndoUnknownPakistani War of 1971,3,December,1971,India,War,Bangladesh,Led to the independence of Bangladesh,Bengalis in East Pakistan,"Indian Military, Mukti Bahini",Negative,Military and Conflict,Asia,0.14955008,0.15392305,0.14123666,0.06831952,0.05591143,0.06454061,0.11181388,0.036345437,0.03748298,0.09174552,0.08911739,1.3417092e-05
11,PokhranUnknownII Nuclear Tests,11,May,1998,India,Nuclear Test,Pokhran,India declared itself a nuclear state,International community,Atal Bihari Vajpayee,Mixed,Technological and Scientific Advancements,Asia,0.09430333,0.07147497,0.12334689,0.21541196,0.06158944,0.053340867,0.05767446,0.04155376,0.045890328,0.16468018,0.07072977,4.0169834e-06
12,Mumbai Terror Attacks,26,November,2008,India,Terrorism,Mumbai,Highlighted the threat of international terrorism,Citizens of Mumbai,LashkarUnknowneUnknownTaiba,Negative,Crisis and Emergency Response,Asia,0.07652901,0.05129699,0.03167021,0.13330066,0.5000627,0.019372148,0.032152496,0.074812286,0.0047295755,0.053512756,0.022548595,1.2543482e-05
13,Arrival of Vasco da Gama,20,May,1498,India,Exploration,Calicut,Marked the beginning of European colonial interests in India,Coastal communities,Vasco da Gama,Negative,Other,Asia,0.19142252,0.1013708,0.115619555,0.08144977,0.02135197,0.08486351,0.1591523,0.015098338,0.048138402,0.052644,0.12297664,0.0059122667
14,Battle of Plassey,23,June,1757,India,Battle,Plassey,Foundation for the expansion of British rule in India,Bengal and later all of India,East India Company,Negative,Military and Conflict,Asia,0.1726057,0.12052515,0.14685883,0.043483883,0.051483426,0.084749095,0.12398143,0.022449212,0.086600386,0.053014245,0.08532132,0.008927381
15,First War of Indian Independence,10,May,1857,India,Revolt,Meerut,First largeUnknownscale rebellion against British rule,"Rebels, British Raj","Indian soldiers, British East India Company",Negative,Other,Asia,0.16975993,0.18779409,0.15795012,0.052380722,0.06661958,0.049079698,0.13515936,0.021680456,0.05326634,0.031500358,0.07330937,0.00149986
16,Swadeshi Movement,7,August,1905,India,National Movement,Bengal,Promoted Indian goods; protest against British economic policies,Indian nationalists,Indian National Congress,Positive,Other,Asia,0.22274862,0.0982091,0.1229811,0.021171903,0.06416845,0.14150435,0.14091633,0.031944145,0.03239274,0.042955987,0.07332344,0.0076838355
17,Green Revolution,Unknown,Unknown,1960,India,Agricultural Revolution,"Punjab, Haryana",Dramatically increased agricultural production,Indian farmers,"M.S. Swaminathan, Norman Borlaug",Positive,Other,Asia,0.16510215,0.06705896,0.09276303,0.060063396,0.0013104073,0.31848726,0.13758187,0.040879052,0.00335794,0.037034497,0.02573961,0.050621834
18,Operation Blue Star,1,June,1984,India,Military Operation,Amritsar,Removal of armed militants from Golden Temple but led to controversy,Sikh community,"Indian Government, Sikh militants",Negative,Military and Conflict,Asia,0.11298591,0.11856728,0.114558585,0.12109751,0.1527085,0.025511343,0.11837974,0.0469185,0.038642656,0.04601318,0.09854543,0.006071408
19,Kargil War,Unknown,May,1999,India,Military Conflict,"Kargil, Ladakh",India regained control of Kargil; heightened patriotism,Indian Armed Forces,"Indian Government, Pakistani Military",Positive,Military and Conflict,Asia,0.15251131,0.23141228,0.157502,0.03560207,0.039964687,0.04982297,0.109361425,0.023381056,0.020854551,0.083307505,0.09627788,2.3350858e-06
20,Right to Information Act Enacted,15,June,2005,India,Legislation,India,Empowered citizens to seek information from public authorities,Indian citizens,Government of India,Positive,Other,Asia,0.17709191,0.006256122,0.12817663,0.037181232,0.025025217,0.030509595,0.10315959,0.011225276,0.37981272,0.02410509,0.07528326,0.0021734713
21,Nirbhaya Case,16,December,2012,India,Criminal Incident,New Delhi,Brought attention to women's safety and led to legal reforms,Indian women,"Indian society, Government of India",Positive,Other,Asia,0.25016966,0.033731487,0.1204195,0.006970006,0.048204515,0.04600663,0.11259705,0.025287677,0.2544643,0.019487843,0.06670105,0.01596028
22,Launch of 5G Services,Unknown,October,2022,India,Technology,India,Introduction of 5G technology expected to revolutionize connectivity,"Indian consumers, businesses","Telecom companies, Government of India",Positive,Technological and Scientific Advancements,Asia,0.02119699,0.03910989,0.061815165,0.24678053,0.02858491,0.33337286,0.06386999,0.044503916,0.0001784366,0.08574819,2.6201126e-06,0.07483643
23,Ram Mandir Bhoomi Pujan,5,August,2020,India,Cultural/Religious,Ayodhya,Beginning of the construction of Ram Temple at disputed site,Hindu community,"Government of India, Hindu activists",Positive,Other,Asia,0.16458818,0.035513096,0.09597127,0.1283232,0.08010748,0.020633273,0.15108144,0.027652636,0.032201312,0.01776407,0.24554522,0.0006187705
